Season,Lg,Team,W,L,W/L%,Finish,SRS,Win%,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,#NAME?,Coaches,Top WS,PointDifferential
2024-25,NBA,Boston Celtics*,61,21,0.744,1st of 5,8.28,0.744,95.7,-3.1,120.6,6.1,111.1,-3.4,,Lost E. Conf. Semis,J. Mazzulla (61-21),J. Tatum (9.5),9.1
2023-24,NBA,Boston Celtics*,64,18,0.78,1st of 5,10.75,0.78,97.2,-1.3,123.2,7.9,111.6,-3.7,,Won Finals,J. Mazzulla (64-18),J. Tatum (10.4),7.8
2022-23,NBA,Boston Celtics*,57,25,0.695,1st of 5,6.38,0.707,98.5,-0.6,118,3.2,111.5,-3.3,,Lost E. Conf. Finals,J. Mazzulla (57-25),J. Tatum (10.5),5.9
2021-22,NBA,Boston Celtics*,51,31,0.622,1st of 5,7.02,0.653,96.6,-1.6,114.4,2.4,106.9,-5.1,,Lost Finals,I. Udoka (51-31),R. Williams (9.9),4.1
2020-21,NBA,Boston Celtics*,36,36,0.5,4th of 5,1.32,0.708,98.3,-0.9,114,1.7,112.5,0.2,,Lost E. Conf. 1st Rnd.,B. Stevens (36-36),J. Tatum (6.5),5
2019-20,NBA,Boston Celtics*,48,24,0.667,2nd of 5,5.83,0.681,99.5,-0.8,113.3,2.7,107,-3.6,,Lost E. Conf. Finals,B. Stevens (48-24),J. Tatum (6.9),4.2
2018-19,NBA,Boston Celtics*,49,33,0.598,3rd of 5,3.9,0.431,99.6,-0.4,112.2,1.8,107.8,-2.6,,Lost E. Conf. Semis,B. Stevens (49-33),K. Irving (9.1),-0.7
2017-18,NBA,Boston Celtics*,55,27,0.671,2nd of 5,3.23,0.667,96,-1.3,107.6,-1,103.9,-4.7,,Lost E. Conf. Finals,B. Stevens (55-27),K. Irving (8.9),2.8
2016-17,NBA,Boston Celtics*,53,29,0.646,1st of 5,2.25,0.431,96.8,0.4,111.2,2.4,108.4,-0.4,,Lost E. Conf. Finals,B. Stevens (53-29),I. Thomas (12.5),-0.9
2015-16,NBA,Boston Celtics*,48,34,0.585,2nd of 5,2.84,0.427,98.5,2.7,106.8,0.4,103.6,-2.8,,Lost E. Conf. 1st Rnd.,B. Stevens (48-34),I. Thomas (9.7),-0.3
2014-15,NBA,Boston Celtics*,40,42,0.488,2nd of 5,-0.4,0.598,95.8,1.9,104.7,-0.9,104.5,-1.1,,Lost E. Conf. 1st Rnd.,B. Stevens (40-42),T. Zeller (6.5),3.5
2013-14,NBA,Boston Celtics,25,57,0.305,4th of 5,-4.97,0.622,93.3,-0.6,102.9,-3.8,107.7,1,,,B. Stevens (25-57),B. Bass (5.1),1.4
2012-13,NBA,Boston Celtics*,41,40,0.506,3rd of 5,-0.62,0.585,91.7,-0.3,103.1,-2.8,103.3,-2.6,,Lost E. Conf. 1st Rnd.,D. Rivers (41-40),P. Pierce (7.2),2.9
2011-12,NBA,Boston Celtics*,39,27,0.591,1st of 5,2.26,0.402,90.4,-0.9,101,-3.6,98.2,-6.4,,Lost E. Conf. Finals,D. Rivers (39-27),P. Pierce (7.0),-1.8
2010-11,NBA,Boston Celtics*,56,26,0.683,1st of 5,4.83,0.598,90.4,-1.7,106.2,-1.1,100.3,-7,,Lost E. Conf. Semis,D. Rivers (56-26),P. Pierce (11.6),1.7
2009-10,NBA,Boston Celtics*,50,32,0.61,1st of 5,3.37,0.341,91.6,-1.1,107.7,0.1,103.8,-3.8,,Lost Finals,D. Rivers (50-32),R. Rondo (9.6),-3.4
2008-09,NBA,Boston Celtics*,62,20,0.756,1st of 5,7.44,0.488,90.4,-1.3,110.5,2.2,102.3,-6,,Lost E. Conf. Semis,D. Rivers (62-20),R. Allen (11.1),-0.5
2007-08,NBA,Boston Celtics*,66,16,0.805,1st of 5,9.3,0.793,90.9,-1.5,110.2,2.7,98.9,-8.6,,Won Finals,D. Rivers (66-16),K. Garnett (12.9),5.8
2006-07,NBA,Boston Celtics,24,58,0.293,5th of 5,-3.7,0.805,92,0.1,103.2,-3.3,106.9,0.4,,,D. Rivers (24-58),A. Jefferson (6.6),8.2
2005-06,NBA,Boston Celtics,33,49,0.402,3rd of 5,-1.59,0.598,92.2,1.7,105.2,-1,106.9,0.7,,,D. Rivers (33-49),P. Pierce (11.5),3.6
2004-05,NBA,Boston Celtics*,45,37,0.549,1st of 5,0.35,0.451,93.3,2.4,107.5,1.4,106.6,0.5,,Lost E. Conf. 1st Rnd.,D. Rivers (45-37),P. Pierce (11.2),-2.1
2003-04,NBA,Boston Celtics*,36,46,0.439,4th of 7,-1.99,0.427,93.2,3.1,102.1,-0.8,103.7,0.8,,Lost E. Conf. 1st Rnd.,"J. O'Brien (22-24), J. Carroll (14-22)",P. Pierce (7.1),-2
2002-03,NBA,Boston Celtics*,44,38,0.537,3rd of 7,-0.75,0.268,90.9,-0.1,101.2,-2.4,101.6,-2,,Lost E. Conf. Semis,J. O'Brien (44-38),P. Pierce (10.1),-6.3
2001-02,NBA,Boston Celtics*,49,33,0.598,2nd of 7,1.75,0.305,92.5,1.8,103.4,-1.1,101,-3.5,,Lost E. Conf. Finals,J. O'Brien (49-33),P. Pierce (12.9),-5.4
2000-01,NBA,Boston Celtics,36,46,0.439,5th of 7,-2.4,0.549,92.6,1.3,101.4,-1.6,103.7,0.7,,,"R. Pitino (12-22), J. O'Brien (24-24)",P. Pierce (10.4),1.3
